* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.01.27914

* Build Date:         Jan 12 2017 18:38:54

* File Generated:     Jun 29 2017 23:36:30

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE5LP2K
Package, SG48

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, Glitch Logic 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, VCCIO_2, not used, , , , , , bottomBank
2, PIO, not used, , , , , , bottomBank
3, PIO, not used, , , , , , bottomBank
4, PIO, not used, , , , , , bottomBank
5, VCC, not used, , , , , , UnknownBank
6, PIO, not used, , , , , , bottomBank
7, CDONE, not used, , , , , , bottomBank
8, CRESET_B, not used, , , , , , bottomBank
9, PIO, not used, , , , , , bottomBank
10, PIO, not used, , , , , , bottomBank
11, PIO, not used, , , , , , bottomBank
12, PIO, not used, , , , , , bottomBank
13, PIO, not used, , , , , , bottomBank
14, SPI_SO, not used, , , , , , bottomBank
15, SPI_SCK, not used, , , , , , bottomBank
16, SPI_SS_B, not used, , , , , , bottomBank
17, SPI_SI, not used, , , , , , bottomBank
18, PIO, not used, , , , , , bottomBank
19, PIO, i_p19but, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
20, PIO_GBIN, not used, , , , , , bottomBank
21, PIO, not used, , , , , , bottomBank
22, VDDIO_SPI, not used, , , , , , bottomBank
23, PIO, i_switch[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
24, VPP, not used, , , , , , topBank
25, PIO, i_switch[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
26, PIO, i_switch[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
27, PIO, not used, , , , , , topBank
28, PIO, not used, , , , , , topBank
29, AVDD_TOP, not used, , , , , , UnknownBank
30, VCC, not used, , , , , , UnknownBank
31, PIO, not used, , , , , , topBank
32, PIO, not used, , , , , , topBank
33, VCCIO_0, not used, , , , , , topBank
34, PIO, not used, , , , , , topBank
35, PIO_GBIN, not used, , , , , , topBank
36, PIO, o_leds[0], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank, o_leds_obuf_0LegalizeSB_DFF(8:20:0) -> 36(9:21:1)
37, PIO_GBIN, not used, , , , , , topBank
38, PIO, o_leds[1], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank, o_leds_obuf_1LegalizeSB_DFF(8:20:1) -> 38(8:21:1)
39, PIO_RGB, LEDB, Output, ,SB_LVCMOS, No Pull Up, , RGB2 Output, topBank
40, PIO_RGB, LEDG, Output, ,SB_LVCMOS, No Pull Up, , RGB1 Output, topBank
41, PIO_RGB, LEDR, Output, ,SB_LVCMOS, No Pull Up, , RGB0 Output, topBank
42, PIO, o_leds[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank, o_leds_obuf_2LegalizeSB_DFF(8:20:2) -> 42(8:21:0)
43, PIO, o_leds[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank, o_leds_obuf_3LegalizeSB_DFF(8:20:3) -> 43(9:21:0)
44, PIO_GBIN, not used, , , , , , bottomBank
45, PIO, o_leds[4], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank, o_leds_obuf_4LegalizeSB_DFF(7:1:0) -> 45(7:0:1)
46, PIO, o_leds[5], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank, o_leds_obuf_5LegalizeSB_DFF(4:1:0) -> 46(5:0:0)
47, PIO, o_leds[6], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank, o_leds_obuf_6LegalizeSB_DFF(7:1:1) -> 47(6:0:0)
48, PIO, o_leds[7], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank, o_leds_obuf_7LegalizeSB_DFF(7:1:2) -> 48(7:0:0)
Total Number of Used Pins, 15
